# Jmh/run FfactorialBench
[info] Benchmark                                 (impl)  Mode  Cnt      Score      Error  Units
[info] FfactorialBench.factorial4     interpreter-check  avgt    3  13033.779 ± 1154.265  us/op
[info] FfactorialBench.factorial4  interpreter-no-check  avgt    3   2805.427 ± 2216.059  us/op
[info] FfactorialBench.factorial4          compiler-gen  avgt    3      6.062 ±    4.146  us/op
[info] FfactorialBench.factorial4       compiler-no-gen  avgt    3    117.434 ±   43.670  us/op
[info] FfactorialBench.factorial4                native  avgt    3      4.656 ±    0.023  us/op
[info] FfactorialBench.factorial4           byte buffer  avgt    3     13.616 ±    0.185  us/op
[info] FfactorialBench.factorial4         memory access  avgt    3     13.592 ±    0.282  us/op
[info] FfactorialBench.factorial8     interpreter-check  avgt    3  16313.681 ± 2945.114  us/op
[info] FfactorialBench.factorial8  interpreter-no-check  avgt    3   3109.818 ±   43.265  us/op
[info] FfactorialBench.factorial8          compiler-gen  avgt    3      6.079 ±    2.263  us/op
[info] FfactorialBench.factorial8       compiler-no-gen  avgt    3     99.380 ±   33.574  us/op
[info] FfactorialBench.factorial8                native  avgt    3      4.693 ±    0.581  us/op
[info] FfactorialBench.factorial8           byte buffer  avgt    3     13.523 ±    1.316  us/op
[info] FfactorialBench.factorial8         memory access  avgt    3     16.175 ±    0.028  us/op
