# Jmh/run FibBench
[info] Benchmark                                (impl)  Mode  Cnt       Score       Error  Units
[info] FibBench.fib4     specialized/interpreter-check  avgt    3   21691.401 ±   295.048  us/op
[info] FibBench.fib4  specialized/interpreter-no-check  avgt    3    9218.702 ±    89.582  us/op
[info] FibBench.fib4       specialized/compiler-no-gen  avgt    3    1171.750 ±    20.063  us/op
[info] FibBench.fib4          specialized/compiler-gen  avgt    3     189.238 ±    13.758  us/op
[info] FibBench.fib4         generic/interpreter-check  avgt    3  349393.426 ± 77574.134  us/op
[info] FibBench.fib4      generic/interpreter-no-check  avgt    3   17586.677 ±    98.894  us/op
[info] FibBench.fib4           generic/compiler-no-gen  avgt    3    2205.413 ±   134.174  us/op
[info] FibBench.fib4              generic/compiler-gen  avgt    3     993.480 ±   191.285  us/op
[info] FibBench.fib4                            native  avgt    3      21.626 ±     0.487  us/op
[info] FibBench.fib8     specialized/interpreter-check  avgt    3   31821.108 ±   847.455  us/op
[info] FibBench.fib8  specialized/interpreter-no-check  avgt    3    9435.363 ±   178.392  us/op
[info] FibBench.fib8       specialized/compiler-no-gen  avgt    3    1202.130 ±    35.040  us/op
[info] FibBench.fib8          specialized/compiler-gen  avgt    3     219.734 ±    16.422  us/op
[info] FibBench.fib8         generic/interpreter-check  avgt    3  576688.674 ±  8281.851  us/op
[info] FibBench.fib8      generic/interpreter-no-check  avgt    3   18398.748 ±   132.468  us/op
[info] FibBench.fib8           generic/compiler-no-gen  avgt    3    2244.406 ±    90.127  us/op
[info] FibBench.fib8              generic/compiler-gen  avgt    3    1034.311 ±   114.893  us/op
[info] FibBench.fib8                            native  avgt    3      21.603 ±     0.032  us/op
